purpose,requested_model,actual_model,prompt_tokens,completion_tokens,total_tokens,latency_ms,estimated_cost_usd
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,456,1,457,1174,0.0006860000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,462,1,463,1050,0.0006950000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,445,1,446,993,0.0006695
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,480,1,481,595,0.0007220000000000001
strategy_rewrite,gpt-3.5-turbo-16k,gpt-3.5-turbo-0125,472,56,528,1760,0.00031999999999999997
answer_generation,gpt-3.5-turbo-16k,gpt-3.5-turbo-0125,697,745,1442,3418,0.001466
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,424,1,425,783,0.0006380000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,414,3,417,1142,0.0006270000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,519,1,520,1107,0.0007805000000000002
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,411,1,412,986,0.0006185000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,417,1,418,1055,0.0006275
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,400,1,401,1047,0.0006020000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,435,1,436,901,0.0006545
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,459,1,460,541,0.0006905
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,449,1,450,1188,0.0006755000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,554,1,555,1023,0.0008330000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,446,1,447,984,0.000671
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,452,1,453,1246,0.00068
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,435,1,436,997,0.0006545
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,470,1,471,1072,0.0007070000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,414,1,415,992,0.0006230000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,404,1,405,997,0.000608
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,509,1,510,924,0.0007655000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,401,1,402,965,0.0006035000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,407,1,408,1126,0.0006125000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,390,1,391,1042,0.0005870000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,425,1,426,428,0.0006395
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,426,1,427,491,0.0006410000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,416,1,417,467,0.000626
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,521,1,522,1445,0.0007835
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,413,1,414,593,0.0006215000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,419,1,420,1003,0.0006305
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,402,1,403,1022,0.0006050000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,437,1,438,984,0.0006575000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,407,1,408,1007,0.0006125000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,397,1,398,1100,0.0005975
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,502,1,503,1262,0.000755
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,394,1,395,845,0.000593
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,400,1,401,1059,0.0006020000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,383,1,384,472,0.0005765
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,418,1,419,994,0.0006290000000000001
strategy_rewrite,gpt-3.5-turbo-16k,gpt-3.5-turbo-0125,386,61,447,1436,0.00028450000000000003
answer_generation,gpt-3.5-turbo-16k,gpt-3.5-turbo-0125,730,803,1533,3394,0.0015695000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,491,1,492,392,0.0007385
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,481,1,482,211,0.0007235
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,586,1,587,583,0.0008810000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,478,1,479,428,0.000719
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,484,1,485,1516,0.000728
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,467,1,468,912,0.0007025000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,502,1,503,989,0.000755
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,414,1,415,753,0.0006230000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,404,1,405,419,0.000608
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,509,1,510,1106,0.0007655000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,401,1,402,1629,0.0006035000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,407,1,408,759,0.0006125000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,390,1,391,1017,0.0005870000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,425,1,426,1011,0.0006395
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,410,1,411,961,0.000617
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,400,1,401,1016,0.0006020000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,505,1,506,966,0.0007595000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,397,1,398,1052,0.0005975
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,403,1,404,1034,0.0006065
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,386,1,387,1019,0.000581
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,421,1,422,982,0.0006335000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,413,1,414,696,0.0006215000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,403,1,404,590,0.0006065
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,508,1,509,1151,0.000764
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,400,1,401,420,0.0006020000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,406,1,407,399,0.000611
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,389,1,390,1638,0.0005855000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,424,1,425,1021,0.0006380000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,460,1,461,1220,0.0006920000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,450,1,451,486,0.0006770000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,555,1,556,215,0.0008345000000000002
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,447,1,448,728,0.0006725000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,453,1,454,1319,0.0006815
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,436,1,437,181,0.0006560000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,471,1,472,1032,0.0007085
strategy_rewrite,gpt-3.5-turbo-16k,gpt-3.5-turbo-0125,302,50,352,1481,0.00022600000000000002
answer_generation,gpt-3.5-turbo-16k,gpt-3.5-turbo-0125,716,715,1431,1936,0.0014305000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,449,1,450,1686,0.0006755000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,439,1,440,986,0.0006605000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,544,1,545,1049,0.000818
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,436,1,437,1599,0.0006560000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,442,1,443,496,0.000665
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,425,1,426,1542,0.0006395
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,460,1,461,2411,0.0006920000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,397,1,398,532,0.0005975
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,387,1,388,1139,0.0005825
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,492,1,493,1423,0.0007400000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,384,1,385,1662,0.0005780000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,390,1,391,2079,0.0005870000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,373,1,374,1009,0.0005615
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,408,1,409,1672,0.0006140000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,441,1,442,1152,0.0006635
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,431,1,432,993,0.0006485000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,536,1,537,1156,0.0008060000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,428,1,429,1046,0.000644
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,434,1,435,1108,0.000653
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,417,1,418,491,0.0006275
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,452,1,453,1001,0.00068
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,378,1,379,989,0.0005690000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,368,1,369,418,0.000554
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,473,1,474,1040,0.0007115000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,365,1,366,1265,0.0005495000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,371,1,372,424,0.0005585000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,354,1,355,1211,0.000533
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,389,1,390,1126,0.0005855000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,435,1,436,597,0.0006545
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,425,1,426,509,0.0006395
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,530,1,531,511,0.000797
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,422,1,423,1638,0.000635
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,428,1,429,1228,0.000644
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,411,1,412,906,0.0006185000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,446,1,447,1639,0.000671
strategy_rewrite,gpt-3.5-turbo-16k,gpt-3.5-turbo-0125,402,46,448,2443,0.00027
answer_generation,gpt-3.5-turbo-16k,gpt-3.5-turbo-0125,715,737,1452,2988,0.001463
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,446,1,447,1481,0.000671
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,436,1,437,439,0.0006560000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,541,1,542,455,0.0008135000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,433,1,434,986,0.0006515000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,439,1,440,197,0.0006605000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,422,1,423,1087,0.000635
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,457,1,458,1035,0.0006875000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,447,1,448,419,0.0006725000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,437,1,438,1100,0.0006575000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,542,1,543,205,0.000815
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,434,1,435,551,0.000653
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,440,1,441,1375,0.000662
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,423,1,424,421,0.0006365
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,458,1,459,1030,0.000689
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,404,1,405,4031,0.000608
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,394,1,395,990,0.000593
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,499,1,500,443,0.0007505000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,391,1,392,1554,0.0005885
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,397,1,398,795,0.0005975
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,380,1,381,404,0.000572
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,415,1,416,1048,0.0006245000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,401,1,402,284,0.0006035000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,391,1,392,438,0.0005885
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,496,1,497,1117,0.0007460000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,388,1,389,498,0.0005840000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,394,1,395,2308,0.000593
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,377,1,378,1467,0.0005675000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,412,1,413,739,0.00062
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,424,1,425,1065,0.0006380000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,414,1,415,787,0.0006230000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,519,1,520,1015,0.0007805000000000002
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,411,1,412,981,0.0006185000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,417,1,418,1038,0.0006275
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,400,1,401,640,0.0006020000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,435,1,436,1239,0.0006545
strategy_rewrite,gpt-3.5-turbo-16k,gpt-3.5-turbo-0125,271,34,305,1233,0.00018649999999999998
answer_generation,gpt-3.5-turbo-16k,gpt-3.5-turbo-0125,697,723,1420,3056,0.001433
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,412,1,413,1148,0.00062
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,402,1,403,1366,0.0006050000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,507,1,508,1036,0.0007624999999999999
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,399,1,400,995,0.0006005
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,405,1,406,1045,0.0006095
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,388,1,389,449,0.0005840000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,423,1,424,424,0.0006365
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,432,1,433,660,0.00065
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,422,1,423,947,0.000635
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,527,1,528,1186,0.0007925
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,419,1,420,1022,0.0006305
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,425,1,426,510,0.0006395
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,408,1,409,185,0.0006140000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,443,1,444,986,0.0006665
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,415,1,416,427,0.0006245000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,405,1,406,1341,0.0006095
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,510,1,511,1064,0.0007670000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,402,1,403,1085,0.0006050000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,408,1,409,1037,0.0006140000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,391,1,392,292,0.0005885
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,426,1,427,400,0.0006410000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,406,1,407,611,0.000611
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,396,1,397,1023,0.000596
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,501,1,502,385,0.0007535
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,393,1,394,308,0.0005915
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,399,1,400,535,0.0006005
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,382,1,383,429,0.0005750000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,417,1,418,419,0.0006275
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,443,1,444,597,0.0006665
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,433,1,434,176,0.0006515000000000001
subjective_evaluation,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct:20230824-v2,538,1,539,1024,0.000809
